filename,caption,paraphrased,negation
000000356427.jpg,A man standing next to train tracks with bags of luggage.,A man with bags of luggage is standing adjacent to train tracks.,A woman standing next to train tracks with bags of luggage.
000000504589.jpg,A woman in a yellow shirt is about to catch a white frisbee.,A white frisbee is about to be caught by a woman wearing a yellow shirt.,A woman in a red skirt is about to catch a white frisbee.
000000343218.jpg,A man standing on a tennis court holding a racquet.,A man is  holding a racquet while standing on a tennis court.,A woman standing on a tennis court holding a racquet.
000000314709.jpg,A woman is skiing down a snowy hill.,The woman on skis is skiing down a snow-covered hill.,A woman is ice-skating on a frozen lake.
000000500663.jpg,some black cattle are grazing in a green field,The green field is where some black cattle are grazing.,Some brown horses are grazing in a green field.
000000334555.jpg,A cow is leashed up to a green pole near the civilians. ,"The green pole is positioned near the civilians, and a cow is leashed up to it.",A donkey is leashed up to a green pole near the civilians.
000000537991.jpg,A woman in blue sweater holding two cellphones while wearing headphones.,A woman wearing a blue sweater and headphones is holding a couple of cellphones.,A man in a blue sweater holding two cellphones while wearing headphones.
000000172946.jpg,People are standing around playing a video game.,The video game is being played by people who are standing around it.,Aliens are standing around playing a video game.
000000433980.jpg,A woman holding a cell phone with both hands.,A woman is using both hands to hold a cell phone.,A man holding a cell phone with both hands.
000000176446.jpg,there is a yellow notebook on a black desk ,The black desk has a yellow notebook on it.,There is a yellow notebook on a red table.
000000370677.jpg,Some girls in colorful shirts standing by some pastries.,A group of girls standing next to some pastries wearing vibrant shirts.,Some girls in colorful shirts standing by some flowers.
000000446522.jpg,A black and brown large dog sits on an upholstered chair.,The upholstered chair is positioned beneath the large black and brown dog.,A black and brown large dog sits on an upholstered couch.
000000090284.jpg,a woman is striking a ball with a racket,The woman hitting a ball with a racket.,A woman is striking a ball with a paddle.
000000210273.jpg,a bunch of vehicles are coming down the road,A group of vehicles is traveling down the road.,A bunch of pedestrians are walking down the road.
000000301135.jpg,A group of women sitting on a bench near a light pole.,A group of women is seated on a bench that is positioned near a light pole.,A group of women sitting on a bench near a river.
000000551439.jpg,A woman holding a book about the topic fun.,A woman is holding a book on topic of fun.,A man holding a book about the topic fun.
000000372577.jpg,A man standing on a tennis court holding a racquet.,A man is holding a racquet while standing on a tennis court.,A woman standing on a tennis court holding a racquet.
000000429281.jpg,Bananas and apples are being sold at the market.,The market is selling both apples and bananas.,Strawberries and apples are being sold at the market.
000000126226.jpg,Many caps and gloves sit in front of the players in a baseball dugout.,The players in a baseball dugout have many caps and gloves in front of them.,Many jerseys and gloves sit in front of the players in a baseball dugout.
000000212559.jpg,A herd of sheep grazing on a pile of hay.,A pile of hay is grazed on by a herd of sheep.,A herd of goats grazing on a pile of hay.
000000067180.jpg,A woman sitting on a wooden bench next to a rock wall.,A woman is seated on a wooden bench adjacent to a wall made of rocks.,A man sitting on a wooden bench next to a rock wall.
000000115898.jpg,A man surfing rocking waves in the water.,A man is in the water surfing on rocking waves.,A woman surfing rocking waves in the water.
000000215245.jpg,A large group of zebras graze in the grasslands of africa,"In the grasslands of Africa, a large group of zebras graze in the grasslands.",A large group of giraffes graze in the grasslands of Africa.
000000163640.jpg,A man holding a piece of food by a string.,A man is holding a string to which a piece of food is suspended by.,A child holding a piece of food by a string.
000000559543.jpg,A cute girl in pink is playing a video game.,A girl wearing a pink outfit is engaged in playing video game.,A cute boy in blue is playing a video game.
000000035197.jpg,A black and white photograph of a person wearing DC shoes on a skateboard in the sun. ,A photo in monochrome depicting a person under the sun on a skateboard wearing DC shoes.,A black and white photograph of a person wearing DC shoes on a surfboard in the sun.
000000318080.jpg,Two brown bears interacting in a rocky area.,A couple of brown bears are in a rocky area interacting with each other.,Two brown wolves interacting in a rocky area.
000000115898.jpg,A man in black wetsuit on white surfboard riding wave.,A man in a black wetsuit is riding a white surfboard on a wave.,A woman in black wetsuit on white surfboard riding wave.
000000152740.jpg,A herd of cattle are standing and grazing in a field.,"In a field, a group of cows are standing and feeding on the grass.",A swarm of bees are buzzing and collecting nectar in a field.
000000080666.jpg,A cat sitting on top of a bench in a field.,A bench is positioned in a field with a cat sitting on top of it.,A rabbit sitting on top of a bench in a field.
000000329219.jpg,A man is at a kitchen counter by a dog.,The dog is next to the man at the kitchen counter.,A woman is at a kitchen counter by a dog.
000000065736.jpg,"A woman tennis player in a black army shirt and tennis skirt, swinging a tennis racket.","A woman in a black army shirt and tennis skirt, holding a tennis racket and swinging it.","A woman tennis player in a black army shirt and ballerina skirt, swinging a tennis racket."
000000284991.jpg,A man has a red water bottle up to his mouth.,The red water bottle is positioned at the man's mouth.,A woman has a red water bottle up to her mouth.
000000284991.jpg,A man drinking a beverage from a red bottle.,A man is holding a red bottle and drinking a beverage from it.,A woman drinking a beverage from a red bottle.
000000577539.jpg,"Bananas, marshmellows, chocolate chips and sprinkles in a bowl","The bowl contains bananas, chocolate chips, marshmallows, and sprinkles.","Strawberries, marshmellows, chocolate chips and sprinkles in a bowl."
000000550426.jpg,Bunch of flowers sitting in vase filled with water and rocks on bottom,A vase filled with water and rocks is positioned at the bottom of a bunch of flowers sitting in it.,Bunch of branches sitting in vase filled with water and rocks on bottom.
000000114871.jpg,A white plate with two slices of cheese and a whole banana unpealed.,A whole banana unpeeled and two slices of cheese are on a white plate.,A cutting board with two slices of cheese and a whole banana unpealed.
000000343524.jpg,A man holding a tennis racket and ball as if to start a serve.,A man is holding a tennis racket and ball in a position that suggests he is about to begin a serve.,A woman holding a tennis racket and ball as if to start a serve.
000000388056.jpg,A batter getting ready to bat with the catcher and umpire behind him.,The catcher and umpire are positioned behind the batter who is getting ready to bat.,A batter getting ready to bat with the pitcher and umpire behind him.
000000572517.jpg,A polar bear and a bird near a small pond.,A bird and a polar bear are positioned close to a small pond.,A polar bear and a fish near a small pond.
000000308430.jpg,A skillet on a stove with vegetables in it ,A skillet with vegetables in it is positioned on a stove.,A skillet on a stove with meat in it.
000000151662.jpg,A giraffe standing on a fence to eat some grass.,A giraffe is consuming some grass while standing on a fence.,A zebra standing on a fence to eat some grass.
000000284296.jpg,Three giraffe drinking from a pond with brush in back.,"with a brush in the background, there are three giraffes drinking from a pond.",Three giraffe drinking from a river with brush in back.
000000070158.jpg,Three adult zebras walk calmly along close together.,Three adult zebras walk closely together in a calm manner.,Three adult horses walk calmly along close together.
000000500663.jpg,A few cows grazing in a field near trees.,A few cows are grazing adjacent to trees in a field.,A few sheep grazing in a field near trees.
000000110211.jpg,Zebras share a grassland with wild pigs in Africa.,"In Africa, wild pigs and zebras share a grassland.",Giraffes share a grassland with wild pigs in Africa.
000000485895.jpg,A giraffe stands under a tree in a grassy place.,"In a grassy place, a tree stands above a giraffe.",A sheep stands under a tree in a grassy place.
000000417779.jpg,There is a fireplug at the corner of this intersection in the residential section of town.,A fireplug is located in a residential area of town at the corner of the intersection.,There is a fireplug at the corner of this intersection near the shopping mall in town.
000000426329.jpg,"Rows of cylindrical cakes for sale in a bakery, seen behind glass.","The bakery displays rows of cylindrical cakes for sale, visible through the glass.","Rows of cylindrical cookies for sale in a bakery, seen behind glass."
000000068409.jpg,Black and white photograph of young schoolboys. ,The photograph in black and white format depicts a group of young schoolboys.,Black and white photograph of young ballerinas.
000000165257.jpg,"A kitchen with a sink, dishwasher and some boxes on the counter.","A dishwasher, a sink, and some boxes on the counter are in a kitchen.","A kitchen with a sink, stove and some boxes on the counter."
000000101420.jpg,A cat that is laying on a couch.,The cat is positioned on the couch.,A dog that is laying on a couch.
000000308394.jpg,A woman with a cane and shopping bag sitting,A woman sitting with a cane and a shopping bag.,A woman with a wheelchair and shopping bag sitting.
000000173044.jpg,A very tall clock tower sitting next to a tall glass building.,adjacent to a tall glass building is a very tall clock tower.,A very tall clock tower sitting next to a tall mosque.
000000263796.jpg,A red toilet in a very small bathroom.,A small bathroom with a red toilet.,A sink in a very small bathroom.
000000018150.jpg,A man feeding pizza to a reluctant toddler.,A man is trying to feed pizza to a hesitant toddler.,A grandmother feeding pizza to a reluctant toddler.
000000446651.jpg,Girl holding onto Dad on the back of a motorcycle in traffic.,The girl is on the back of a motorcycle holding onto the dad while navigating through traffic.,Girl holding onto Dad on the back of a bicycle in traffic.
000000323828.jpg,A train with lights on traveling on train tracks.,A train is traveling on train tracks with lights on.,A bus with lights on traveling on a road.
000000067310.jpg,a man on a skateboard in the air coming on to a ramp,"A man on a skateboard is airborne, approaching a ramp.",A man on a skateboard in the air coming onto stairs.
000000086220.jpg,A car and a public transit vehicle on a road.,a public transit vehicle and a car are positioned on a road.,A bicycle and a public transit vehicle on a road.
000000281179.jpg,An empty street at night with lots of lights in the background.,numerous lights in the background of an empty street at night.,An empty alley at night with lots of lights in the background.
000000205647.jpg,A delivery truck travels along the road by a hill side.,The delivery truck traveling adjacent to the hillside along the road.,A school bus travels along the road by a hill side.
000000447342.jpg,Old style bus and trolley going down a modern street.,The modern street is lined with an old-style bus and a trolley.,Old style car and trolley going down a modern street.
000000232489.jpg,A couple of slices of pizza on top of a white plate.,A white plate has a couple of slices of pizza on top of it.,A couple of sandwich halves on top of a white plate.
000000571718.jpg,Bananas being sold and a man looking at them.,The man is looking at the bananas that are being sold.,Pineapples being sold and a man looking at them.
000000561679.jpg,there is a orange street sign with a white sign underneath,There is an orange street sign positioned above a white street sign.,There is a traffic light with a white sign underneath.
000000533206.jpg,a big sandwich on a small silver plate with a bowl of broth on the side,"The small silver plate has a big sandwich on it, and a bowl of broth is positioned beside it.",A big burger on a small silver plate with a bowl of broth on the side.
000000278353.jpg,A small sheep is standing under a wooden fence post.,There is a small sheep that is situated below a wooden fence post.,A small goat is standing under a wooden fence post.
000000134886.jpg,A low flying airplane over a parked silver van. ,A parked silver van positioned below a low flying airplane.,A low flying helicopter over a parked silver van.
000000558854.jpg,One person is eating chilli and a grilled cheese and the other is having a sandwich and fries.,"while one person is eating a sandwich and fries, the other person is having chilli and a grilled cheese.",One person is eating chilli and a grilled cheese and the other is having a sandwich and onion rings.
000000453584.jpg,A very cute small red bench by some tall stools.,A small red bench that looks charming is placed near some tall stools.,A very cute small red chair by some tall stools.
000000189828.jpg,Grey plane taking off above some green vegetation.,The green vegetation is situated below the grey plane as it takes off above it.,Grey helicopter taking off above some green vegetation.
000000270244.jpg,A half zebra hybrid is standing in tall grass.,A hybrid animal with half zebra characteristics is standing within tall grass.,A peacock is standing in tall grass.
000000125211.jpg,there is a very beautiful zebra that is standing in the shade,The zebra that is looking gorgeous is standing in the shade.,There is a very beautiful gazelle that is standing in the shade.
000000447342.jpg,there is a old bus that is next to a trolly on the street,The trolley is next to an old bus on the street.,There is a old bicycle that is next to a trolly on the street.
000000021903.jpg,A man reaching out to an elephants trunk near a gate.,A man is reaching out towards the trunk of an elephant near a gate..,A man reaching out to a giraffe's neck near a gate.
000000125405.jpg,Two dogs running and playing in the sun.,"A couple of dogs are playing in the sun, running.",Two horses running and playing in the sun.
000000521405.jpg,A stuffed animal sitting in front of a tooth brush.,A stuffed animal is sitting in front of a toothbrush.,A houseplant sitting in front of a tooth brush.
000000227765.jpg,Overview of a pot of vegetable soup with wooden spoon on a stainless steel stove top.,"A pot filled with vegetable soup sits atop a stainless steel stove, accompanied by a wooden spoon.",Overview of a pan of vegetable soup with wooden spoon on a stainless steel stove top.
000000434230.jpg,Various pots and plates displayed next to a woman.,The woman is surrounded by various plates and pots.,Various books and plates displayed next to a woman.
000000168330.jpg,a city street at night with a lit clock on the corner,A lit clock is positioned on the corner of a city street at night.,A city street at night with a lit post office on the corner.
000000468124.jpg,We see a double decker bus wit a compartment in the side.,A double-decker bus with a compartment on its side is visible.,We see a double decker train with a compartment in the side.
000000557501.jpg,a bathroom with two sinks near towel and soap dispensers ,A bathroom featuring two sinks located next to  soap dispensers and towel.,A bathroom with two toilets near towel and soap dispensers.
000000516708.jpg,The business and street signs are clearly visible. ,The street and business signs are easily visible.,The business and billboards are clearly visible.
000000355325.jpg,A pizza has been topped with ham near a large glass of wine.,The ham-topped pizza is near a large glass of wine.,A pizza has been topped with pineapple near a large glass of wine.
000000435081.jpg,A collaboration of pictures of various food items,A collection of images depicting a variety of food items.,A collaboration of pictures of various musical instruments.
000000013659.jpg,Man works on laptop as three others work on a project.,Three people work on a project while another man works on his laptop.,Man works on laptop as three others work in a garden.
000000301718.jpg,Two people sitting at a table eating.  ,Two individuals are seated at a table and consuming food.,Two people sitting on a picnic blanket eating.
000000363207.jpg,A just married coule feed each other cake while a photographer takes photos.,The photographer takes photos of the newlyweds while they feed each other cake.,A just married couple feed each other cake while a musician plays music.
000000375015.jpg,A bear standing on rocks and his ears are up. ,The bear with his ears raised is standing on the rocks.,A gazelle standing on rocks and its ears are up.
000000323709.jpg,A jet plane and a large white sphere.,A large sphere that is white in color and a jet plane.,A jet plane and a mountain range.
000000108253.jpg,A plate of cheese bread next to bread sticks and wine.,A plate of cheese bread is positioned next to bread sticks and wine.,A plate of cheese bread next to bread sticks and sparkling water.
000000338428.jpg,An older pickup truck with decorative murals painted on.,The pickup truck that is old and painted with decorative murals.,An older bicycle with decorative murals painted on.
000000185890.jpg,Two woman wearing no shoes playing video games,Two women are playing video games without shoes.,Two men wearing no shoes playing video games.
000000151662.jpg,A giraffe at a zoo eating some grass.,A giraffe is eating some grass at a zoo.,A giraffe in the wilderness eating some grass.
000000099810.jpg,Small certain was child eating donuts off a blue plate. ,"The child was eating donuts off a blue plate, who was small and certain.",A small certain grandmother was eating donuts off a blue plate.
000000379842.jpg,This video game has a Wii device and instructions.,The Wii device and instructions are included in this video game.,This video game has an Xbox console and instructions.
000000181796.jpg,Fancy food on a plate on a wooden table.,The plate with fancy food is positioned on a wooden table.,Fancy food in a bowl on a wooden table.
000000400573.jpg,A man wearing glasses eating a donut. ,A man eating a donut is wearing glasses.,A woman wearing glasses eating a donut.
000000142092.jpg,A pizza with vegetables and cheese resting on a board.,A pizza positioned on a board is topped with vegetables and cheese.,A sandwich with vegetables and cheese resting on a board.
000000504711.jpg,A piece of dutch chocolate cake with a fork  on a plate. ,A plate with a fork and a piece of Dutch chocolate cake.,A piece of dutch chocolate cake with a spoon on a plate.
000000459153.jpg,The man is sitting on the park bench using his laptop. ,The man working on his laptop is sitting on the park bench.,The man is sitting on the park bench using his cellphone.
000000338428.jpg,A photo of a green truck parked in grass.,The green truck is parked in the grass in the photo.,A photo of a green bicycle parked in grass.
000000121506.jpg,An umbrella on a backyard patio is upturned from the wind. ,The umbrella on the backyard patio is positioned with its handle pointing upwards due to the wind.,An umbrella on a beach cabana is upturned from the wind.
000000099242.jpg,A man skiing down a snowy hill alone.,A man alone is skiing down a hill covered with snow.,A woman skiing down a snowy hill alone.
000000264535.jpg,An old man reading a book on a park bench.,An elderly gentleman is seated on a park bench while engrossed in reading a book.,An old man reading a newspaper on a park bench.
000000403565.jpg,A person standing next to a bike on top of a road.,A person is positioned next to a bike that is situated on top of a road.,A person standing next to a car on top of a road.
000000098839.jpg,A cat that is looking at a television screen.,The television screen is positioned in front of the cat that is looking at it.,A dog that is looking at a television screen.
000000163640.jpg,Two men getting food at an outside restaurant.,A couple of men are ordering food from an restaurant situated outdoors.,Two women getting food at an outside restaurant.
000000458992.jpg,The woman has a knife and fork for eating the big pizza.,The woman is equipped with a fork and a knife to eat the large pizza.,The man has a knife and fork for eating the big pizza.
000000557501.jpg,A restroom with two sinks and a red colored stall.,The restroom has a red-colored stall along with two sinks.,A restroom with a toilet and a red colored stall.
000000067180.jpg,A woman is sitting on an old wooden bench.,The old wooden bench is positioned beneath the woman.,A man is sitting on an old wooden bench.
000000318080.jpg,Two brown bears growling at each other while laying on a log.,Two brown bears are lying on a log and growling at each other.,Two brown wolves growling at each other while laying on a log.
000000546964.jpg,A sitting room with old furniture roped off to the public. ,"A sitting room containing antique furniture, which is cordoned off and inaccessible to the public..",A sitting room with old artwork roped off to the public.
000000579307.jpg,A boy is on the beach holding a toy.,The boy holding a toy is on the beach.,A girl is on the beach holding a toy.
000000298396.jpg,An old style kitchen with baby blue cabinets.,The kitchen has baby blue cabinets in an old style design.,An old style bathroom with baby blue cabinets.
000000472046.jpg,A large modern kitchen has pineapples on the counter.,The kitchen that is spacious and contemporary has pineapples on the counter.,A large modern kitchen has mangoes on the counter.
000000472046.jpg,a kitchen with two pineapples on the counter and a wok pot on the burner.,A kitchen with a wok pot situated on the burner and a coule of pineapples positioned on the counter.,A kitchen with two oranges on the counter and a wok pot on the burner.
000000148719.jpg,A very old red truck that is parked on some grass.,"A red truck, which is very old is parked on a patch of grass.",A very old red bicycle that is parked on some grass.
000000183716.jpg,Two young girls in uniforms sitting closely together.,Two young girls wearing uniforms sit closely beside each other.,Two young girls in dresses sitting closely together.
000000272566.jpg,A man and young girl surrounded by various fruits.,a variety of fruits surround a young girl and a man.,A man and young girl surrounded by various vegetables.
000000388056.jpg,"Professional baseball players watch the batter, catcher and umpire","The umpire, batter, and catcher are watched by professional baseball players.","Professional baseball players watch the pitcher, catcher and umpire."
000000334483.jpg,A group of people sit at a table with cake.,A group of people with cake is seated at a table.,A couple sit at a table with cake.
000000361238.jpg,A woman sitting in front of a giant pizza.,A giant pizza is in front of a woman who is sitting.,A man sitting in front of a giant pizza.
000000056127.jpg,"A room with a fire extinguisher, mugs hanging from a shelf and several lights.","A room containing a shelf with mugs hanging from, a fire extinguisher and several lights.","A room with a fire extinguisher, paintings hanging from a shelf and several lights."
000000102356.jpg,A woman riding a green motorcycle with a side car.,A woman is driving a green motorcycle with a sidecar attached.,A man riding a green motorcycle with a side car.
000000128476.jpg,Large collection of cakes shaped like hearts on a display.,"A display of a large collection of cakes, each shaped like a heart, is on show.",Large collection of cookies shaped like hearts on a display.
000000357978.jpg,A woman attending an exposition about the future.,A woman is present at an exposition concerning the future.,A man attending an exposition about the past.
000000146457.jpg,The boy and girl are making pizzas together.,The boy and girl are working together to make pizzas.,The boy and mother are making pizzas together.
000000214224.jpg,"a home bar with different drink ingredients under a large decorative sign saying, PUB.",A large decorative sign saying PUB is positioned above a home bar with different drink ingredients under it.,"A home bar with cocktail glasses under a large decorative sign saying, PUB."
000000334309.jpg,A man takes a picture of himself eating food.,A man while eating food is taking a selfie.,A woman takes a picture of herself eating food.
000000093437.jpg,An old man standing in a kitchen posing for a picture.,An elderly gentleman posing for a photograph while standing in a kitchen.,An old woman standing in a kitchen posing for a picture.
000000087144.jpg,A man and woman sit on benches with a small child.,A man and woman along with a young child are seated on benches.,A man and woman sit on benches with a teenager.
000000057150.jpg,A girl in plain dress standing next to a white teddy bear.,A white teddy bear is standing adjacent to a girl in a simple dress.,A boy in plain dress standing next to a white teddy bear.
000000079837.jpg,several sail boats in the water at night,"At night, several sail boats are present in the water.",Several hot air balloons in the sky at night.
000000156643.jpg,A smiling man sitting by a very nice looking cake.,A man is smiling while sitting by a cake that looks very nice.,A smiling man sitting by a very nice looking flower arrangement.
000000000785.jpg,A woman posing for the camera standing on skis.,A woman is standing on skis while posing for the camera.,A man posing for the camera standing on skis.
000000523811.jpg,A small bird perched on a piece of wood.,A piece of wood is positioned under a little bird that perched on it.,A hawk perched on a piece of wood.
000000552902.jpg,A zebra out and about eating some grass,A zebra is grazing on grass while out and about.,A giraffe out and about eating some grass.
000000479448.jpg,A plate of waffles with bananas and strawberries on top.,waffles topped with strawberries and bananas are on a  plate.,A plate of waffles with blueberries and strawberries on top.
000000569565.jpg,A yellow dump truck driving past a forest.,A dump truck painted in yellow drives past a forest.,A yellow bicycle riding past a forest.
000000475678.jpg,Several suit cases lined in rows with luggage tags on them.,Several suitcases are arranged in rows and have luggage tags on them.,Several backpacks lined in rows with luggage tags on them.
000000008690.jpg,Two young girls petting goats in a pen.,goats inside a pen are being petted by couple of young girls.,Two young girls petting sheep in a pen.
000000476258.jpg,A person in a helmet is riding a skateboard.,The skateboard is being ridden by a person wearing a helmet.,A person in a helmet is riding a bicycle.
000000123480.jpg,A man with a toothbrush taking a selfie in the bathroom mirror,A man in front of a bathroom mirror is taking a selfie while holding a toothbrush.,A man with a hairbrush taking a selfie in the bathroom mirror.
000000080057.jpg,A brown teddy bear sitting at a table with colored pegs.,A teddy bear with a brown color is sitting at a table with pegs of different colors.,A brown doll sitting at a table with colored pegs.
000000356347.jpg,A pan filled with mystery goo next to another pan.,A pan is placed adjacent to another pan filled with mystery goo.,A pan filled with mystery goo next to a bowl.
000000355325.jpg,A cutting board with pizza and a glass of wine,A pizza placed on a cutting board alongside a glass of wine.,A cutting board with sushi and a glass of wine.
000000051598.jpg,The bathroom door is open with the light on.,The light is on in the bathroom with open door.,The bedroom door is open with the light on.
000000294831.jpg,Two pieces of pizza are served on a plate.,A plate serving two slices of pizza.,Two slices of watermelon are served on a plate.
000000410650.jpg,A woman hitting a tennis ball with a tennis racket,A woman is using a tennis racket to strike a tennis ball.,A man hitting a tennis ball with a tennis racket.
000000409475.jpg,A man and a woman standing in the snow on skis.,A man and a woman on skis are standing in the snow.,A man and a woman standing in the snow on snowboards.
000000555412.jpg,A pizza is shown with various toppings on it.,The various toppings are positioned on top of the pizza.,A sandwich is shown with various toppings on it.
000000555412.jpg,A close up photo of a pizza with a lettuce and prosciutto topping. ,"A photo of a pizza topped with prosciutto and lettuce, taken from a close-up angle.",A close up photo of sushi with a lettuce and prosciutto topping.
000000002299.jpg,A group of children standing next to each other.,A group of children standing in close proximity to one another.,A group of animals standing next to each other.
000000100624.jpg,a woman standing on a sidewalk while using a cell phone ,A woman is using her cell phone while standing on a sidewalk.,A woman standing in a shopping mall while using a cell phone.
000000536947.jpg,"A refrigerator on a patio flooded with water, beverage cans and a beer bottle. ","A patio with a refrigerator surrounded by water, with a beer bottle and some beverage cans.","A refrigerator on a patio flooded with water, wine bottles and a beer bottle."
000000140640.jpg,Women in fancy hats serving cakes at a candle lit table,"At a candlelit table, women wearing fancy hats are serving cakes.",Women in fancy shoes serving cakes at a candle lit table.
000000295231.jpg,the seven sheep are preparing to be sheered.,The seven sheep are being sheered.,The seven alpacas are preparing to be sheered.
000000550426.jpg,A vase is filled with a bouquet of tulips. ,A bouquet of tulips is contained within a vase.,A basket is filled with a bouquet of tulips.
000000168458.jpg,there is a small glass vase that has purple flowers in it,the purple flowers are placed in a small vase made of glass.,There is a small glass vase that has a succulent plant in it.
000000361268.jpg,A brown and white cow standing in front of an iron fence.,A cow with brown and white markings is standing in front of a fence made of iron.,A brown and white goat standing in front of an iron fence.
000000153529.jpg,a woman with her luggage at a train station,A woman with her luggage is located at a train station.,A man with his luggage at a train station.
000000134112.jpg,A dog sitting in front of a laptop on top of a bed,"A dog is is situated on top of a bed, which is positioned in front of a laptop.",A cat sitting in front of a laptop on top of a bed.
000000371677.jpg,"A desk with two computer monitors, two mice, a cup and a keyboard on it.","On the desk, there are two computer monitors, two mice, a keyboard and a cup.","A desk with a television, two mice, a cup and a keyboard on it."
000000011051.jpg,A girl pins a bouttoniere on the lapel of her date.,A girl is attaching a boutonniere to her date's lapel.,A boy pins a bouttoniere on the lapel of his date.
000000502136.jpg,A plaster external wall with multiple old paper images attached.,"An external wall made of plaster, adorned with several old paper images.",A wooden door with multiple old paper images attached.
000000181666.jpg,Men keep watch on a herd of goats.,The herd of goats is being watched over by a group of men.,Men keep watch on a herd of sheep.
000000143931.jpg,Here is Massachusettes candidate Scott Brown's campaign trailer.,"The campaign trailer for Scott Brown, the Massachusetts candidate, is here.",Here is Massachusettes candidate Elizabeth Warren's campaign trailer.
000000329219.jpg,A man in the kitchen standing with his dog.,A man is standing along with his dog in the kitchen.,A woman in the kitchen standing with her dog.
000000030675.jpg,The freight train is painted orange and yellow. ,The yellow and orange colors are applied to the freight train,The passenger bus is painted orange and yellow.
000000288042.jpg,A man walking with an umbrella near a railing above a river.,A man with an umbrella is walking near a railing that is positioned above a river.,A woman walking with an umbrella near a railing above a river.
000000134112.jpg,A small dog laying on a bed next to a laptop computer.,A laptop computer is positioned next to a small dog that is lying on a bed.,A small hamster laying on a bed next to a laptop computer.
000000165351.jpg,Sliced bananas sit on top of a pastry dish on a plate.,"The pastry dish is positioned on top of the plate, and the sliced bananas are placed on top of the pastry dish.",Sliced mangoes sit on top of a pastry dish on a plate.
000000099242.jpg,An older man is skiing down a snowy mountain.,The elderly man is skiing downward on a mountain covered with snow.,An older woman is skiing down a snowy mountain.
000000034139.jpg,a huge suitcase with a bunch of stickers on it,numerous stickers are adorning on the surface of a large suitcase.,A huge backpack with a bunch of stickers on it.
000000177714.jpg," A plate containing potatoes, carrots and chicken.","The plate contains chicken, potatoes, and carrots.","A plate containing potatoes, carrots and lamb."
000000199310.jpg,A man in a defensive stance holding a racquet.,A man is holding a racquet in a defensive stance.,A man in a defensive stance holding a sword.
000000202228.jpg,A man taking a picture of himself in a mirror.,A man is taking a selfie in a mirror.,A woman taking a picture of herself in a mirror.
000000302165.jpg,Cows resting in fresh straw bays at a rodeo,Cows at a rodeo are lounging in fresh straw bays.,Horses resting in fresh straw bays at a rodeo.
000000098839.jpg,A cat sits in front of a TV and watches.,A cat is sitting and watching a TV in front of it.,A dog sits in front of a TV and watches.
000000352900.jpg,A very tasty looking dish of pasta with some broccoli.,A dish of pasta with some broccoli that looks very tasty.,A very tasty looking dish of chicken with some broccoli.
000000570471.jpg,A man is cutting into a cake as someone hugs him.,Someone is hugging a man as he cutting a cake.,A child is cutting into a cake as someone hugs them.
000000440475.jpg,A large living and dining room area with rich wood features.,A spacious dining and living room area with intricate wooden decor.,A large living and dining room area with a beautiful stone fireplace.
000000127987.jpg,A bobble head is shown next to computer screens.,The computer screens are positioned adjacent to the bobble head.,A globe is shown next to computer screens.
000000329542.jpg,A camera showing a picture of someone touching a cupcake.,A picture of someone touching a cupcake is being captured by a camera.,A camera showing a picture of someone touching a donut.
000000091406.jpg,A group of four women stand together in front of pizzas.,Four women are gathered together in front of pizzas.,A group of four women stand together in front of a music player.
000000116208.jpg,A very large pizza covered in cheese and toppings.,"A pizza with a large size, covered in cheese and various other toppings.",A very large burger covered in cheese and toppings.
000000103585.jpg,a bathroom with two sinks with a light on above them.,The bathroom has couple of sinks and a switched-on light above them.,A bathroom with a bathtub with a light on above it.
000000272566.jpg,A couple of people sitting next to piles of fruit.,A group of individuals is seated adjacent to stacks of produce.,A couple of children sitting next to piles of fruit.
000000283113.jpg,The two hot dogs on the plate are ready to be eaten. ,A couple of hot dogs are positioned on the plate and are ready to be consumed.,The two burgers on the plate are ready to be eaten.
000000279541.jpg,Several different kinds of pizzas displayed on a buffet line., a buffet line showcases a variety of pizzas.,Several different kinds of sushi displayed on a buffet line.
000000232684.jpg,A person sitting next to a laptop in a dark room.,A person is seated in a dimly lit room adjacent to a laptop.,A robot sitting next to a laptop in a dark room.
000000571718.jpg,A man looks at a cart full of bananas.,A man gazes at a cart that is filled with bananas.,A woman looks at a cart full of bananas.
000000057150.jpg,Two girls are holding a huge stuffed bear near a crowd of kids.,The huge stuffed bear is being held by a couple of girls near a crowd of kids.,Two boys are holding a huge stuffed bear near a crowd of kids.
000000095843.jpg,A double decker bus parked near a curb by trees.,A double-decker bus is parked adjacentr to a curb close to the trees.,A fire truck parked near a curb by trees.
000000106757.jpg,The woman is looking at the elephant in amazement. ,The elephant is being looked at in amazement by the woman.,The child is looking at the elephant in amazement.
000000473974.jpg,A group of zebras in a grassy area next to trees.,A group of zebras is situated in a grassy area adjacent to trees.,A group of giraffes in a grassy area next to trees.
000000356498.jpg,Some kind of a pancake that has broccoli and sauce on it.,A pancake of some kind is topped with broccoli and sauce.,Some kind of an omelette that has broccoli and sauce on it.
000000039951.jpg,A little boy with a red baseball cap playing tennis. ,A small kid is playing tennis while wearing a red baseball cap.,A little boy with a red baseball cap playing basketball.
000000369771.jpg,Two plastic containers sitting on top of a wooden table.,The wooden table has two plastic containers positioned on top of it.,Two glass bottles sitting on top of a wooden table.
